Report: Number of cases that moved from RFE Resp Received -> Approved/Denied
Across the maintained series during 2016-11-16 to 2016-11-25

Series ID	Approv	Denied
------------------------------
EAC1613950	2	0
EAC1613951	0	1
EAC1614050	1	0
EAC1614051	1	0
EAC1614052	1	0
EAC1614053	1	0
EAC1614054	1	0
EAC1614150	2	1
EAC1614152	1	0
EAC1614153	1	0
EAC1614154	3	0
EAC1614250	1	1
EAC1614251	0	2
EAC1614252	2	0
EAC1614253	2	0
EAC1614254	1	0
EAC1614255	2	0
EAC1614350	1	0
EAC1614351	3	0
EAC1614352	1	0
EAC1614353	1	1
EAC1614354	2	0
EAC1614355	1	0
EAC1614450	2	0
EAC1614451	1	1
EAC1614452	2	0
EAC1614453	1	1
EAC1614454	4	2
EAC1614455	2	0
EAC1614550	5	0
EAC1614551	3	0
EAC1614650	5	0
EAC1614651	2	0
EAC1614652	6	1
EAC1614653	5	0
EAC1614654	4	1
EAC1614655	3	2
EAC1614750	1	1
EAC1614751	3	0
EAC1614752	2	0
EAC1614753	1	0
EAC1614754	1	0
EAC1614755	1	0
EAC1614850	3	0
EAC1614851	1	1
EAC1614852	2	0
EAC1614853	2	0
EAC1614854	1	0
EAC1614855	1	0
EAC1614950	5	1
EAC1614951	5	1
EAC1614952	2	0
EAC1614953	3	1
EAC1614954	6	0
WAC1613850	1	0
WAC1613950	0	1
WAC1613952	1	0
WAC1613954	1	0
WAC1614051	1	0
WAC1614150	1	0
WAC1614151	1	0
WAC1614152	0	1
WAC1614153	2	0
WAC1614154	1	0
WAC1614250	2	0
WAC1614251	1	0
WAC1614252	1	0
WAC1614253	4	1
WAC1614350	6	0
WAC1614351	3	0
WAC1614352	2	1
WAC1614353	3	1
WAC1614354	3	0
WAC1614450	5	1
WAC1614451	7	0
WAC1614550	2	0
WAC1614551	2	0
WAC1614552	2	2
WAC1614553	3	1
WAC1614650	2	0
WAC1614651	1	0
WAC1614652	1	0
WAC1614653	1	0
WAC1614654	1	0
WAC1614750	3	1
WAC1614751	6	1
WAC1614752	1	1
WAC1614753	2	0
WAC1614754	1	0
WAC1614850	1	0
WAC1614852	1	0
WAC1614950	1	0
WAC1614951	1	0
